keyword,tfidf_score
app,0.13865888916838023
good,0.09046191739868792
best,0.04938405468573375
cbe,0.03938531855714076
bank,0.03820325628102158
update,0.03724718571884664
nice,0.03564569378173848
use,0.031391621113098594
application,0.030816719764402204
like,0.02903504842570781
work,0.025163723460281985
easy,0.022886280529130172
banking,0.020641858697836486
time,0.020443295367863754
working,0.020008853168561675
service,0.019552260564794578
fast,0.019423278286225636
ነው,0.0187412840770883
good app,0.018030680435921643
excellent,0.017706444104710964
mobile,0.017577589693148477
great,0.016074916721224776
make,0.015947058476237425
transfer,0.015523303122182355
best app,0.014952156883069074
apps,0.014811058443028342
new,0.014533189663904085
amazing,0.014510693969327757
fix,0.014054543846088244
mobile banking,0.013949091917550099
transaction,0.013790087548891909
money,0.01343412944744709
thank,0.013418110704515391
screenshot,0.013288094173814142
bad,0.013117278438734422
problem,0.013092909978557069
account,0.01293450354372086
nice app,0.012642836882443121
transactions,0.012623162677497099
easy use,0.012294599383938001
ethiopia,0.01166794421012886
need,0.011662172681237063
thanks,0.011615231672252375
don,0.011533289164504737
በጣም,0.01097037681412013
doesn,0.010942461840040676
user,0.010217190472452354
simple,0.009659666198068798
using,0.008758950523443448
access,0.007576369720410862
